Prereq,Course
None,Lab Science
Math Placement,TMATH 124
Math Placement,TCSS 142
TMATH 124,TMATH 125
TMATH 125,TMATH 208
TMATH 125,TMATH 126
TMATH 126,TMATH 390
TCSS 142,TCSS 143
TMATH 124,CSS Major
TMATH 125,CSS Major
TCSS 142,CSS Major
TCSS 143,CSS Major
Lab Science,CSS Major
CSS Major,TCSS 305
CSS Major,TCSS 321
CSS Major,TCSS 325
CSS Major,TCSS 371
TCSS 305,TCSS 342
TCSS 321,TCSS 342
TCSS 342,TCSS 343
TCSS 342,TCSS 360
TCSS 342,TCSS 380
TCSS 371,TCSS 372
TCSS 371,TCSS 380
TCSS 372,TCSS 422
TCSS 380,TCSS 422